User ID,MAE
912,0.7996
96,0.8004
435,0.8011
445,0.8013
172,0.8023
245,0.8027
896,0.8028
674,0.8034
1,0.8034
603,0.8035
17,0.8038
518,0.8038
585,0.8056
796,0.8064
241,0.8065
444,0.8067
828,0.8071
781,0.8078
734,0.8081
395,0.8083
759,0.8088
520,0.8090
35,0.8092
76,0.8107
590,0.8119
305,0.8120
95,0.8121
789,0.8122
150,0.8123
886,0.8123
492,0.8128
550,0.8132
653,0.8133
108,0.8136
533,0.8143
224,0.8143
31,0.8176
902,0.8178
409,0.8179
325,0.8184
922,0.8185
769,0.8189
381,0.8189
691,0.8194
707,0.8209
368,0.8210
487,0.8214
458,0.8216
669,0.8217
282,0.8221
581,0.8232
280,0.8237
244,0.8243
14,0.8256
193,0.8269
718,0.8289
638,0.8298
667,0.8309
627,0.8315
918,0.8319
133,0.8326
371,0.8327
71,0.8329
42,0.8332
7,0.8337
410,0.8342
940,0.8351
567,0.8366
897,0.8367
149,0.8375
81,0.8382
183,0.8385
690,0.8389
765,0.8391
808,0.8397
128,0.8412
109,0.8412
696,0.8421
884,0.8423
83,0.8424
261,0.8429
288,0.8431
668,0.8435
937,0.8435
80,0.8442
79,0.8442
539,0.8458
610,0.8461
489,0.8461
201,0.8469
406,0.8477
670,0.8478
121,0.8480
559,0.8500
146,0.8506
66,0.8517
901,0.8521
811,0.8524
511,0.8525
170,0.8528
449,0.8539
433,0.8550
620,0.8559
898,0.8561
175,0.8567
49,0.8568
524,0.8600
425,0.8625
557,0.8640
787,0.8650
341,0.8655
494,0.8655
485,0.8657
459,0.8665
847,0.8665
205,0.8674
174,0.8682
773,0.8684
491,0.8685
743,0.8697
652,0.8704
768,0.8706
801,0.8715
337,0.8716
421,0.8729
856,0.8730
309,0.8733
791,0.8742
845,0.8743
129,0.8744
730,0.8757
437,0.8760
656,0.8766
246,0.8768
142,0.8775
404,0.8788
331,0.8792
300,0.8803
917,0.8814
432,0.8823
365,0.8829
197,0.8847
626,0.8849
719,0.8857
340,0.8858
809,0.8859
548,0.8859
209,0.8862
570,0.8868
211,0.8888
314,0.8907
598,0.8914
208,0.8921
599,0.8931
104,0.8935
461,0.8944
780,0.8973
612,0.8973
868,0.8980
196,0.8982
176,0.8993
310,0.9004
858,0.9015
123,0.9018
546,0.9020
401,0.9021
125,0.9029
260,0.9039
22,0.9045
824,0.9048
913,0.9048
568,0.9049
192,0.9056
336,0.9057
415,0.9062
853,0.9073
199,0.9092
364,0.9100
927,0.9120
630,0.9134
387,0.9144
86,0.9159
496,0.9168
930,0.9173
639,0.9187
289,0.9206
697,0.9222
466,0.9229
77,0.9236
619,0.9238
349,0.9249
676,0.9250
145,0.9254
797,0.9274
356,0.9286
675,0.9293
281,0.9298
58,0.9315
778,0.9319
493,0.9326
706,0.9338
803,0.9359
611,0.9370
382,0.9374
637,0.9400
97,0.9411
574,0.9414
182,0.9424
495,0.9428
714,0.9434
753,0.9441
40,0.9456
352,0.9461
408,0.9465
89,0.9465
503,0.9471
509,0.9481
269,0.9490
51,0.9491
203,0.9509
463,0.9511
818,0.9516
842,0.9525
212,0.9551
921,0.9565
403,0.9575
614,0.9588
943,0.9593
938,0.9606
478,0.9618
648,0.9626
316,0.9639
279,0.9656
88,0.9658
3,0.9660
5,0.9664
385,0.9683
236,0.9708
752,0.9712
642,0.9728
131,0.9734
729,0.9742
578,0.9752
265,0.9769
342,0.9789
698,0.9797
75,0.9806
255,0.9809
839,0.9811
148,0.9820
805,0.9836
672,0.9837
326,0.9856
873,0.9857
580,0.9868
689,0.9869
452,0.9875
230,0.9876
107,0.9880
705,0.9890
405,0.9893
134,0.9906
223,0.9924
848,0.9926
115,0.9931
671,0.9932
866,0.9933
363,0.9934
286,0.9944
597,0.9993
366,1.0032
390,1.0058
708,1.0058
93,1.0077
157,1.0093
502,1.0107
20,1.0147
440,1.0154
13,1.0165
204,1.0169
531,1.0193
462,1.0215
833,1.0227
353,1.0231
601,1.0258
78,1.0262
863,1.0266
755,1.0296
588,1.0299
347,1.0317
358,1.0323
771,1.0343
239,1.0345
248,1.0354
551,1.0372
186,1.0383
490,1.0414
15,1.0610
143,1.0621
159,1.0648
608,1.0649
424,1.0659
572,1.0659
167,1.0678
180,1.0680
206,1.0741
61,1.0745
335,1.0748
745,1.0771
374,1.0776
202,1.0789
651,1.0821
731,1.0827
702,1.0841
777,1.0887
141,1.0895
113,1.0906
34,1.0928
857,1.0949
837,1.1005
443,1.1022
153,1.1041
736,1.1056
887,1.1157
812,1.1158
126,1.1165
914,1.1179
517,1.1184
760,1.1192
68,1.1276
168,1.1434
55,1.1453
617,1.1524
865,1.1533
657,1.1544
677,1.1585
471,1.1599
820,1.1626
869,1.1691
98,1.1736
217,1.1747
726,1.1813
258,1.1821
761,1.1836
127,1.1902
451,1.1932
724,1.1940
36,1.2007
475,1.2015
732,1.2088
228,1.2134
813,1.2210
519,1.2217
681,1.2246
575,1.2266
418,1.2464
609,1.2469
695,1.2584
434,1.2659
362,1.2666
50,1.2799
604,1.3013
219,1.3074
166,1.3076
448,1.3089
562,1.3120
589,1.3499
739,1.3689
179,1.3931
762,1.4277
229,1.4514
38,1.4757
Average:,0.7711
Variance:,0.0341
